city,date,traffic_volume,aqi,noise_pollution,temperature,humidity,pop_density,public_transport_usage,is_weekend,is_monsoon,is_winter,day_of_week,month,quarter,aqi_7d_avg,aqi_lag1,traffic_volume_7d_avg,traffic_volume_lag1,heat_humidity_index,pollution_traffic_load,transport_efficiency,log_pop_density,stress_index
Ahmedabad,2022-01-01,59.43,152.9,54.9,20.6,66.2,5300.0,15.62,1,0,1,5,1,1,,,,,17.81,0.1817,0.2628,8.5757,25.53
Ahmedabad,2022-01-02,45.76,201.8,66.1,26.2,59.0,5300.0,16.46,1,0,1,6,1,1,,152.9,,59.43,21.9,0.1847,0.3597,8.5757,37.07
Ahmedabad,2022-01-03,66.78,188.4,66.7,22.4,62.4,5300.0,33.83,0,0,1,0,1,1,181.03333333333333,201.8,57.32333333333333,45.76,19.03,0.2516,0.5066,8.5757,39.28
Ahmedabad,2022-01-04,75.97,166.3,63.1,23.6,67.1,5300.0,27.36,0,0,1,1,1,1,177.35000000000002,188.4,61.985,66.78,20.49,0.2527,0.3601,8.5757,40.26
Ahmedabad,2022-01-05,58.23,186.8,64.5,24.8,56.3,5300.0,29.27,0,0,1,2,1,1,179.24,166.3,61.234,75.97,20.46,0.2175,0.5027,8.5757,38.62
Ahmedabad,2022-01-06,61.31,197.4,53.6,22.4,58.0,5300.0,25.02,0,0,1,3,1,1,182.26666666666668,186.8,61.24666666666667,58.23,18.64,0.2421,0.4081,8.5757,30.33
Ahmedabad,2022-01-07,60.035,216.1,67.9,19.2,56.6,5300.0,30.04,0,0,1,4,1,1,187.1,197.4,61.07357142857143,61.31,15.87,0.2595,0.5004,8.5757,36.21
Ahmedabad,2022-01-08,58.76,151.1,58.7,21.6,69.3,5300.0,18.27,1,0,1,5,1,1,186.84285714285713,216.1,60.97785714285714,60.035,18.95,0.1776,0.3109,8.5757,25.48
Ahmedabad,2022-01-09,46.01,176.64999999999998,56.4,23.7,59.3,5300.0,19.02,1,0,1,6,1,1,183.25,151.1,61.013571428571424,58.76,19.84,0.1626,0.4134,8.5757,24.61
Ahmedabad,2022-01-10,74.99,202.2,65.3,24.0,50.4,5300.0,28.31,0,0,1,0,1,1,185.22142857142856,176.64999999999998,62.186428571428564,46.01,19.24,0.3033,0.3775,8.5757,47.64
Ahmedabad,2022-01-11,69.64,196.4,65.8,20.8,40.2,5300.0,30.92,0,0,1,1,1,1,189.52142857142854,202.2,61.28214285714285,74.99,15.82,0.2735,0.444,8.5757,39.95
Ahmedabad,2022-01-12,71.12,190.6,61.3,20.5,60.2,5300.0,27.31,0,0,1,2,1,1,190.06428571428572,196.4,63.123571428571424,69.64,17.24,0.2711,0.384,8.5757,36.56
Ahmedabad,2022-01-13,68.42,184.8,64.5,20.5,42.8,5300.0,29.56,0,0,1,3,1,1,188.2642857142857,190.6,64.1392857142857,71.12,15.81,0.2529,0.432,8.5757,36.12
Ahmedabad,2022-01-14,74.91,187.9,67.2,24.0,50.1,5300.0,35.23,0,0,1,4,1,1,184.2357142857143,184.8,66.26428571428572,68.42,19.21,0.2815,0.4703,8.5757,45.27
